vendor,count
Apache,5198
natural.js,2156
predict.js,1982
ResponsiveVoice,1702
ml.js,1392
Google,681
Google Brain,501
Speech.js,299
Face-api.js,282
annyang,280
American Megatrends,259
MLFlow,213
OpenCV,160
ml5.js,110
Berkeley Vision and Learning Center,104
dictate.js,96
NVIDIA Corporation,76
brain.js,67
Clmtrackr,61
JQuery,59
FedAI,37
Elasticsearch,28
Quanta Cloud Technology,23
SpeechKITT,22
MongoDB,20
artyom.js,20
NVIDIA,20
XMRPool,19
FaceDetector.js,13
Keras,8
neuro.js,8
deeplearn.js,7
convnet.js,7
synaptic.js,6
Inference Solutions,5
clusterfck.js,4
figue.js,4
Deeplearning4j,3
Oracle,2
Docker,1
neataptic.js,1
Open Neural Network Exchange,1
